Game ID,Rental Date,Return Date,Rented Customer ID
sekiro01,26/05/2023,22/06/2023,efgh
sekiro02,26/05/2023,23/06/2023,coai
bloodb01,27/05/2023,24/06/2023,ijkl
val01,27/05/2023,25/06/2023,coai
lol01,28/05/2023,26/06/2023,mnop
gow02,28/05/2023,27/06/2023,coai
sekiro03,29/05/2023,28/06/2023,abcd
ds02,29/05/2023,29/06/2023,coai
val03,30/05/2023,30/06/2023,mnop
sekiro04,30/05/2023,01/07/2023,coai
lol03,31/05/2023,02/07/2023,ijkl
tlou02,31/05/2023,03/07/2023,coai
val02,01/06/2023,04/07/2023,mnop
lol02,01/06/2023,05/07/2023,coai
sekiro01,02/06/2023,06/07/2023,abcd
sekiro02,02/06/2023,07/07/2023,coai
bloodb01,03/06/2023,08/06/2023,ijkl
val01,03/06/2023,09/06/2023,coai
lol01,04/06/2023,10/06/2023,mnop
gow02,04/06/2023,11/06/2023,coai
sekiro03,05/06/2023,12/06/2023,abcd
ds01,05/06/2023,13/06/2023,coai
bloodb02,06/06/2023,14/06/2023,mnop
tlou02,06/06/2023,15/06/2023,coai
val03,07/06/2023,16/06/2023,ijkl
sekiro04,07/06/2023,17/06/2023,coai
val02,08/06/2023,18/06/2023,mnop
lol02,08/06/2023,19/06/2023,coai
sekiro01,09/06/2023,20/06/2023,abcd
sekiro02,09/06/2023,21/06/2023,coai
bloodb01,10/06/2023,22/06/2023,ijkl
val01,10/06/2023,23/06/2023,coai
lol01,11/06/2023,24/06/2023,mnop
gow02,11/06/2023,25/06/2023,coai
sekiro03,12/06/2023,26/06/2023,abcd
ds02,12/06/2023,27/06/2023,coai
val03,13/06/2023,28/06/2023,mnop
sekiro04,13/06/2023,29/06/2023,coai
lol03,14/06/2023,30/06/2023,ijkl
tlou02,14/06/2023,01/07/2023,coai
val02,15/06/2023,02/07/2023,mnop
lol02,15/06/2023,03/07/2023,coai
sekiro01,16/06/2023,04/07/2023,abcd
sekiro02,16/06/2023,05/07/2023,coai
bloodb01,17/06/2023,06/07/2023,ijkl
val01,17/06/2023,07/07/2023,coai
lol01,18/06/2023,08/07/2023,mnop
gow02,18/06/2023,09/07/2023,coai
sekiro03,19/06/2023,10/07/2023,abcd
ds01,19/06/2023,11/07/2023,coai
bloodb02,20/06/2023,12/07/2023,mnop
tlou02,20/06/2023,13/07/2023,coai
val03,21/06/2023,14/07/2023,ijkl
sekiro04,21/06/2023,15/07/2023,coai
cod01,22/06/2023,16/07/2023,abcd
fifa03,22/06/2023,17/07/2023,coai
elden01,23/06/2023,18/07/2023,abcd
sekiro02,23/06/2023,19/07/2023,coai
ds01,24/06/2023,20/07/2023,coai
val03,24/06/2023,21/07/2023,ijkl
sekiro03,25/06/2023,22/07/2023,mnop
tlou01,25/06/2023,23/07/2023,abcd
sekiro04,26/06/2023,24/07/2023,mnop
tlou02,26/06/2023,25/07/2023,coai
val02,27/06/2023,26/07/2023,ijkl
lol02,27/06/2023,27/07/2023,coai
sekiro01,28/06/2023,28/07/2023,efgh
sekiro02,28/06/2023,29/07/2023,coai
bloodb01,29/06/2023,30/07/2023,ijkl
val01,29/06/2023,31/07/2023,coai
lol01,30/06/2023,01/07/2023,mnop
gow02,30/06/2023,02/07/2023,coai
sekiro03,01/07/2023,03/07/2023,abcd
ds02,01/07/2023,04/07/2023,coai
val03,02/07/2023,05/07/2023,mnop
sekiro04,02/07/2023,06/07/2023,coai
lol03,03/07/2023,07/07/2023,ijkl
tlou02,03/07/2023,08/07/2023,coai
val02,04/07/2023,09/07/2023,mnop
lol02,04/07/2023,10/07/2023,coai
sekiro01,05/07/2023,11/07/2023,abcd
sekiro02,05/07/2023,12/07/2023,coai
bloodb01,06/07/2023,13/07/2023,ijkl
val01,06/07/2023,14/07/2023,coai
lol01,07/07/2023,15/07/2023,mnop
gow02,07/07/2023,16/07/2023,coai
sekiro03,08/07/2023,17/07/2023,abcd
ds01,08/07/2023,18/07/2023,coai
bloodb02,09/07/2023,19/07/2023,mnop
tlou02,09/07/2023,20/07/2023,coai
val03,10/07/2023,21/07/2023,ijkl
sekiro04,10/07/2023,22/07/2023,coai
sekiro04,05/08/2023,09/08/2023,efgh
bloodb02,14/08/2023,18/08/2023,coai
tlou02,23/08/2023,27/08/2023,ijkl
val01,01/09/2023,05/09/2023,coai
lol03,10/09/2023,14/09/2023,mnop
ds02,19/09/2023,23/09/2023,coai
sekiro01,28/09/2023,02/10/2023,efgh
sekiro02,07/10/2023,11/10/2023,coai
bloodb01,16/10/2023,20/10/2023,ijkl
val02,25/10/2023,29/10/2023,coai
gow02,03/11/2023,07/11/2023,abcd
sekiro03,12/11/2023,04/12/2023,coai
ds01,21/11/2023,25/11/2023,efgh
val03,30/11/2023,04/12/2023,coai
tlou01,09/12/2023,13/12/2023,ijkl
sekiro04,18/12/2023,22/12/2023,mnop
tlou02,27/12/2023,31/12/2023,coai
val01,05/01/2024,09/01/2024,abcd
lol01,14/01/2024,18/01/2024,coai
gow01,23/01/2024,27/01/2024,mnop
sekiro02,01/02/2024,05/02/2024,coai
bloodb02,10/02/2024, ,coai
val01,05/12/2023,07/12/2023,abcd
val01,07/12/2023, ,coai
sekiro01,09/12/2023,09/12/2023,abcd
fifa03,10/12/2023, ,abcd
ds01,10/12/2023, ,abcd
cod01,11/12/2023, ,abcd
ds02,11/12/2023,11/12/2023,abcd
ds02,11/12/2023, ,abcd
